"","ARI","NMI","FM-Index","FMeasure","Metric","Dataset"
"132",0.306660283974916,0.500591579461018,0.369894757711663,0.492211394824886,"pearson","Brbic et al intestine"
"133",0.293466956051698,0.502771701099191,0.359669256909411,0.487980506813152,"pearson","Brbic et al intestine"
"134",0.283095558212208,0.496778028584344,0.348833027415889,0.462464829279434,"pearson","Brbic et al intestine"
"135",0.305245339786459,0.514278181315079,0.369123773548554,0.505963259907013,"pearson","Brbic et al intestine"
"136",0.187596908597363,0.435015602665084,0.291209830271482,0.432383982650107,"euclidean","Brbic et al intestine"
"137",0.209918308543497,0.464811223419159,0.301775197384863,0.416245704130486,"euclidean","Brbic et al intestine"
"138",0.199982894801644,0.442274020894724,0.297465227766015,0.428500660029515,"euclidean","Brbic et al intestine"
"139",0.197886334575401,0.447541224921423,0.298662288937128,0.440014695035747,"euclidean","Brbic et al intestine"
"140",0.205019329709351,0.438325274371636,0.312155106435789,0.457666262446834,"euclidean","Brbic et al intestine"
"141",0.341986750867069,0.481823356053461,0.444242949997622,0.547975047270213,"pearson","Brbic et al tonsil"
"142",0.311381531792651,0.440636944886062,0.417279888503618,0.487711288155756,"pearson","Brbic et al tonsil"
"143",0.300772614635716,0.45013012679045,0.407737187410688,0.481346928835342,"pearson","Brbic et al tonsil"
"144",0.35382988386037,0.482911322969867,0.455368529242542,0.559315629510211,"pearson","Brbic et al tonsil"
"145",0.262644850292704,0.427690128117824,0.373933522694931,0.477845121714558,"pearson","Brbic et al tonsil"
"146",0.181722083128998,0.407971807454984,0.332738104497865,0.470817206034617,"euclidean","Brbic et al tonsil"
"147",0.248492488522676,0.392511572314243,0.407697214217414,0.567659809223079,"euclidean","Brbic et al tonsil"
"148",0.156230511335881,0.389330753132396,0.315981998502838,0.43808561610797,"euclidean","Brbic et al tonsil"
"149",0.201028555024327,0.39342020164185,0.353151125315651,0.477176969175506,"euclidean","Brbic et al tonsil"
"150",0.151536228679843,0.388682853903197,0.312806298305321,0.437564463833638,"euclidean","Brbic et al tonsil"
